     ,Stand v Waffle,Bishop v Weaver,Benders vs Bruh,AFCG v Ztoven,Dance v Donations,Fins v Afghans,   ,1,2,3,4,5,6,7,8,9,10,11,12
0,Stand,Bishop,Benders,AFCG,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
1,Stand,Bishop,Benders,AFCG,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],AFCG (8-6)    [Points Behind: -42],Dance (8-6)    [Points Behind: 16],Weaver (8-6)    [Points Behind: 86],Ztoven (7-7)    [Points Behind: -170],Benders (7-7)    [Points Behind: 48],Fins (6-8)    [Points Behind: -28],Donations (5-9)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
2,Stand,Bishop,Benders,AFCG,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 42],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Dance (7-7)    [Points Behind: 36],Donations (6-8)    [Points Behind: 18],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
3,Stand,Bishop,Benders,AFCG,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],AFCG (8-6)    [Points Behind: -42],Weaver (8-6)    [Points Behind: 102],Ztoven (7-7)    [Points Behind: -170],Benders (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 36],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
4,Stand,Bishop,Benders,Ztoven,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Donations (5-9)    [Points Behind: 34],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
5,Stand,Bishop,Benders,Ztoven,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],Ztoven (8-6)    [Points Behind: -110],Dance (8-6)    [Points Behind: 84],Weaver (8-6)    [Points Behind: 86],Benders (7-7)    [Points Behind: -122],AFCG (7-7)    [Points Behind: 20],Fins (6-8)    [Points Behind: -48],Donations (5-9)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
6,Stand,Bishop,Benders,Ztoven,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Afghans (8-6)    [Points Behind: 110],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Donations (6-8)    [Points Behind: 18],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
7,Stand,Bishop,Benders,Ztoven,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],Ztoven (8-6)    [Points Behind: -110],Weaver (8-6)    [Points Behind: 170],Benders (7-7)    [Points Behind: -122],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
8,Stand,Bishop,Bruh,AFCG,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
9,Stand,Bishop,Bruh,AFCG,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],AFCG (8-6)    [Points Behind: -42],Dance (8-6)    [Points Behind: 16],Weaver (8-6)    [Points Behind: 86],Ztoven (7-7)    [Points Behind: -170],Fins (6-8)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
10,Stand,Bishop,Bruh,AFCG,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],AFCG (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 42],Weaver (8-6)    [Points Behind: 60],Ztoven (7-7)    [Points Behind: -170],Fins (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 64],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
11,Stand,Bishop,Bruh,AFCG,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],AFCG (8-6)    [Points Behind: -42],Weaver (8-6)    [Points Behind: 102],Ztoven (7-7)    [Points Behind: -170],Dance (7-7)    [Points Behind: 84],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
12,Stand,Bishop,Bruh,Ztoven,Dance,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],AFCG (7-7)    [Points Behind: 48],Benders (6-8)    [Points Behind: -20],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
13,Stand,Bishop,Bruh,Ztoven,Dance,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],Ztoven (8-6)    [Points Behind: -110],Dance (8-6)    [Points Behind: 84],Weaver (8-6)    [Points Behind: 86],AFCG (7-7)    [Points Behind: -102],Fins (6-8)    [Points Behind: -48],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
14,Stand,Bishop,Bruh,Ztoven,Donations,Fins,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Ztoven (8-6)    [Points Behind: 21],Afghans (8-6)    [Points Behind: 110],Weaver (8-6)    [Points Behind: 60],Fins (7-7)    [Points Behind: -150],AFCG (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 16],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
15,Stand,Bishop,Bruh,Ztoven,Donations,Afghans,|,Bishop (9-5)    [Points Behind: 0],Stand (9-5)    [Points Behind: 68],Afghans (9-5)    [Points Behind: 131],Ztoven (8-6)    [Points Behind: -110],Weaver (8-6)    [Points Behind: 170],AFCG (7-7)    [Points Behind: -102],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
16,Stand,Weaver,Benders,AFCG,Dance,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
17,Stand,Weaver,Benders,AFCG,Dance,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Dance (8-6)    [Points Behind: 16],Ztoven (7-7)    [Points Behind: -84],Benders (7-7)    [Points Behind: 48],Fins (6-8)    [Points Behind: -28],Donations (5-9)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
18,Stand,Weaver,Benders,AFCG,Donations,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Afghans (8-6)    [Points Behind: 42],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Benders (7-7)    [Points Behind: 28],Dance (7-7)    [Points Behind: 36],Donations (6-8)    [Points Behind: 18],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
19,Stand,Weaver,Benders,AFCG,Donations,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Ztoven (7-7)    [Points Behind: -68],Benders (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 36],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
20,Stand,Weaver,Benders,Ztoven,Dance,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Fins (7-7)    [Points Behind: -90],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Donations (5-9)    [Points Behind: 34],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
21,Stand,Weaver,Benders,Ztoven,Dance,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 84],Benders (7-7)    [Points Behind: -36],AFCG (7-7)    [Points Behind: 20],Fins (6-8)    [Points Behind: -48],Donations (5-9)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
22,Stand,Weaver,Benders,Ztoven,Donations,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 110],Fins (7-7)    [Points Behind: -90],Benders (7-7)    [Points Behind: 28],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Donations (6-8)    [Points Behind: 18],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
23,Stand,Weaver,Benders,Ztoven,Donations,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],Benders (7-7)    [Points Behind: 48],AFCG (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 16],Fins (6-8)    [Points Behind: -64],Donations (6-8)    [Points Behind: 82],Bruh (4-10)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
24,Stand,Weaver,Bruh,AFCG,Dance,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Dance (8-6)    [Points Behind: 16],Afghans (8-6)    [Points Behind: 26],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
25,Stand,Weaver,Bruh,AFCG,Dance,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Dance (8-6)    [Points Behind: 16],Ztoven (7-7)    [Points Behind: -84],Fins (6-8)    [Points Behind: 20],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
26,Stand,Weaver,Bruh,AFCG,Donations,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Afghans (8-6)    [Points Behind: 42],Ztoven (7-7)    [Points Behind: -110],Fins (7-7)    [Points Behind: 20],Dance (7-7)    [Points Behind: 64],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
27,Stand,Weaver,Bruh,AFCG,Donations,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],AFCG (8-6)    [Points Behind: 157],Ztoven (7-7)    [Points Behind: -68],Dance (7-7)    [Points Behind: 84],Fins (6-8)    [Points Behind: -64],Benders (6-8)    [Points Behind: 28],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
28,Stand,Weaver,Bruh,Ztoven,Dance,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 84],Afghans (8-6)    [Points Behind: 26],Fins (7-7)    [Points Behind: -90],AFCG (7-7)    [Points Behind: 48],Benders (6-8)    [Points Behind: -20],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
29,Stand,Weaver,Bruh,Ztoven,Dance,Afghans,|,Stand (9-5)    [Points Behind: 0],Afghans (9-5)    [Points Behind: 131],Weaver (9-5)    [Points Behind: 60],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],Dance (8-6)    [Points Behind: 84],AFCG (7-7)    [Points Behind: -16],Fins (6-8)    [Points Behind: -48],Benders (6-8)    [Points Behind: 28],Donations (5-9)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
30,Stand,Weaver,Bruh,Ztoven,Donations,Fins,|,Stand (9-5)    [Points Behind: 0],Weaver (9-5)    [Points Behind: 191],Bishop (8-6)    [Points Behind: -259],Ztoven (8-6)    [Points Behind: 89],Afghans (8-6)    [Points Behind: 110],Fins (7-7)    [Points Behind: -90],AFCG (7-7)    [Points Behind: 48],Dance (7-7)    [Points Behind: 16],Benders (6-8)    [Points Behind: -36],Donations (6-8)    [Points Behind: 54],Bruh (5-9)    [Points Behind: 24],Waffle (4-10)    [Points Behind: 21]
